Configuration,time,num_colors,conflicts,generation,geneations_conflicts,best
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0018668174743652344,4,0,0,"[[0, 0]]","[3, 1, 3, 1, 2, 3, 1, 3, 1, 2, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0015299320220947266,4,0,0,"[[0, 0]]","[2, 1, 0, 1, 3, 2, 3, 2, 1, 3, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.001394033432006836,4,0,0,"[[0, 0]]","[2, 0, 1, 0, 3, 1, 3, 1, 0, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0013439655303955078,4,0,0,"[[0, 0]]","[1, 0, 1, 3, 0, 2, 0, 2, 3, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0018010139465332031,4,0,0,"[[0, 0]]","[1, 0, 1, 3, 0, 2, 2, 3, 2, 0, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0018553733825683594,4,0,0,"[[0, 0]]","[1, 0, 1, 0, 3, 2, 2, 2, 0, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.004467964172363281,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[0, 3, 2, 1, 3, 0, 1, 0, 1, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0017600059509277344,4,0,0,"[[0, 0]]","[0, 1, 3, 2, 1, 3, 2, 2, 2, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0016410350799560547,4,0,0,"[[0, 0]]","[3, 1, 0, 0, 2, 3, 2, 3, 1, 3, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.001626729965209961,4,0,0,"[[0, 0]]","[1, 3, 1, 0, 3, 2, 0, 2, 0, 2, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0015821456909179688,4,0,0,"[[0, 0]]","[1, 0, 3, 0, 1, 3, 2, 3, 2, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0016009807586669922,4,0,0,"[[0, 0]]","[3, 1, 2, 1, 3, 3, 1, 2, 2, 3, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.001191854476928711,4,0,0,"[[0, 0]]","[3, 2, 0, 0, 2, 1, 2, 1, 1, 1, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0011682510375976562,4,0,0,"[[0, 0]]","[0, 1, 2, 3, 1, 0, 3, 2, 3, 0, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.003313779830932617,4,0,3,"[[0, 1], [1, 1], [2, 1], [3, 0]]","[3, 1, 3, 1, 0, 2, 1, 2, 1, 0, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.002633810043334961,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[0, 3, 0, 2, 1, 0, 2, 2, 2, 3, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.004338264465332031,4,0,3,"[[0, 1], [1, 1], [2, 1], [3, 0]]","[2, 3, 2, 3, 1, 0, 0, 2, 3, 0, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0014081001281738281,4,0,0,"[[0, 0]]","[3, 0, 2, 1, 0, 3, 0, 2, 2, 3, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0013377666473388672,4,0,0,"[[0, 0]]","[2, 0, 2, 0, 3, 1, 3, 1, 1, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0013532638549804688,4,0,0,"[[0, 0]]","[1, 3, 2, 0, 3, 1, 0, 0, 0, 1, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0017879009246826172,4,0,0,"[[0, 0]]","[3, 0, 2, 2, 3, 3, 1, 2, 1, 3, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0018460750579833984,4,0,0,"[[0, 0]]","[1, 3, 0, 0, 1, 1, 2, 2, 2, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.00308990478515625,4,0,1,"[[0, 1], [1, 0]]","[3, 1, 2, 1, 0, 2, 1, 2, 1, 0, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0057981014251708984,4,0,3,"[[0, 1], [1, 1], [2, 1], [3, 0]]","[2, 1, 3, 0, 1, 2, 0, 2, 0, 2, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0016150474548339844,4,0,0,"[[0, 0]]","[0, 1, 2, 2, 1, 0, 1, 0, 3, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0016150474548339844,4,0,0,"[[0, 0]]","[3, 2, 0, 1, 2, 0, 1, 0, 0, 2, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.001561880111694336,4,0,0,"[[0, 0]]","[0, 2, 1, 1, 2, 0, 2, 1, 1, 2, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0015900135040283203,4,0,0,"[[0, 0]]","[3, 2, 0, 0, 1, 1, 1, 3, 2, 2, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0025627613067626953,4,0,1,"[[0, 1], [1, 0]]","[3, 2, 0, 2, 1, 0, 1, 0, 0, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.002574920654296875,4,0,1,"[[0, 1], [1, 0]]","[3, 2, 3, 2, 1, 0, 2, 0, 0, 0, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0014767646789550781,4,0,0,"[[0, 0]]","[0, 1, 3, 1, 0, 2, 1, 2, 2, 2, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0026831626892089844,4,0,1,"[[0, 1], [1, 0]]","[1, 2, 1, 3, 2, 0, 0, 0, 3, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0014030933380126953,4,0,0,"[[0, 0]]","[2, 3, 1, 3, 0, 2, 0, 2, 3, 0, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.001363992691040039,4,0,0,"[[0, 0]]","[1, 0, 3, 3, 2, 1, 2, 1, 0, 2, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0022542476654052734,4,0,1,"[[0, 1], [1, 0]]","[3, 1, 3, 2, 1, 3, 2, 3, 0, 0, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0013179779052734375,4,0,0,"[[0, 0]]","[1, 2, 1, 0, 2, 3, 2, 3, 3, 2, 1]"
