Configuration,time,num_colors,conflicts,generation,geneations_conflicts,best
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0020999908447265625,4,0,0,"[[0, 0]]","[1, 2, 3, 0, 2, 3, 2, 0, 3, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0018949508666992188,4,0,0,"[[0, 0]]","[0, 3, 0, 1, 2, 0, 1, 1, 3, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.002833843231201172,4,0,1,"[[0, 1], [1, 0]]","[0, 3, 1, 2, 3, 1, 3, 1, 1, 0, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0016269683837890625,4,0,0,"[[0, 0]]","[1, 0, 3, 3, 1, 2, 2, 3, 3, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0022058486938476562,4,0,0,"[[0, 0]]","[2, 1, 2, 1, 3, 0, 1, 2, 0, 0, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0022728443145751953,4,0,0,"[[0, 0]]","[3, 1, 3, 1, 0, 3, 2, 3, 2, 0, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0022249221801757812,4,0,0,"[[0, 0]]","[1, 0, 3, 2, 1, 1, 2, 2, 3, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.00583195686340332,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[3, 2, 1, 0, 2, 1, 0, 3, 0, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.004276275634765625,4,0,1,"[[0, 1], [1, 0]]","[3, 0, 1, 0, 3, 1, 0, 2, 0, 2, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0025458335876464844,4,0,0,"[[0, 0]]","[1, 3, 1, 0, 3, 1, 3, 1, 2, 3, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0023031234741210938,4,0,0,"[[0, 0]]","[3, 2, 1, 0, 3, 3, 2, 0, 2, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0070781707763671875,4,0,3,"[[0, 1], [1, 1], [2, 1], [3, 0]]","[2, 3, 2, 3, 0, 2, 0, 2, 1, 0, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0016522407531738281,4,0,0,"[[0, 0]]","[2, 1, 3, 1, 2, 3, 0, 3, 0, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.004503011703491211,4,0,3,"[[0, 1], [1, 1], [2, 1], [3, 0]]","[2, 0, 3, 3, 0, 1, 1, 2, 3, 2, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.002279996871948242,4,0,1,"[[0, 1], [1, 0]]","[0, 2, 0, 3, 2, 0, 3, 3, 1, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.003155946731567383,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[3, 0, 2, 2, 3, 3, 0, 2, 0, 0, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0016551017761230469,4,0,0,"[[0, 0]]","[3, 1, 3, 2, 1, 0, 1, 0, 0, 0, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.00700688362121582,4,0,5,"[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 0]]","[0, 2, 3, 2, 0, 1, 2, 1, 1, 1, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0014832019805908203,4,0,0,"[[0, 0]]","[3, 0, 2, 2, 0, 1, 1, 1, 1, 0, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0014393329620361328,4,0,0,"[[0, 0]]","[1, 3, 0, 0, 2, 1, 3, 0, 0, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0018978118896484375,4,0,0,"[[0, 0]]","[0, 2, 0, 1, 3, 3, 3, 0, 1, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.003276824951171875,4,0,1,"[[0, 1], [1, 0]]","[3, 0, 2, 0, 3, 1, 1, 2, 2, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0017552375793457031,4,0,0,"[[0, 0]]","[2, 0, 1, 0, 2, 2, 0, 3, 0, 3, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0030961036682128906,4,0,1,"[[0, 1], [1, 0]]","[0, 1, 0, 1, 3, 0, 2, 0, 2, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0064067840576171875,4,0,4,"[[0, 1], [1, 1], [2, 1], [3, 1], [4, 0]]","[2, 0, 3, 0, 1, 1, 1, 3, 3, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.007652997970581055,4,0,5,"[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 0]]","[1, 0, 2, 2, 0, 1, 0, 1, 3, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0050809383392333984,4,0,3,"[[0, 1], [1, 1], [2, 1], [3, 0]]","[3, 1, 0, 0, 3, 2, 1, 2, 2, 3, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.002783060073852539,4,0,1,"[[0, 1], [1, 0]]","[0, 3, 2, 2, 0, 1, 1, 1, 3, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.003665924072265625,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[2, 0, 3, 0, 1, 3, 0, 3, 0, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0036411285400390625,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[3, 0, 3, 0, 1, 3, 1, 2, 2, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0014448165893554688,4,0,0,"[[0, 0]]","[0, 2, 3, 1, 2, 3, 1, 1, 1, 2, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.001447916030883789,4,0,0,"[[0, 0]]","[1, 2, 3, 3, 2, 1, 0, 1, 3, 0, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0013709068298339844,4,0,0,"[[0, 0]]","[2, 0, 3, 0, 2, 2, 1, 3, 3, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.001397848129272461,4,0,0,"[[0, 0]]","[2, 3, 1, 1, 3, 0, 0, 1, 0, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.001344919204711914,4,0,0,"[[0, 0]]","[2, 1, 0, 1, 2, 3, 1, 3, 3, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0013360977172851562,4,0,0,"[[0, 0]]","[0, 3, 0, 3, 1, 0, 3, 0, 3, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0017940998077392578,4,0,0,"[[0, 0]]","[1, 0, 2, 0, 1, 3, 3, 2, 3, 3, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.004559040069580078,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[3, 1, 2, 2, 1, 0, 0, 0, 2, 3, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0017490386962890625,4,0,0,"[[0, 0]]","[2, 0, 1, 3, 2, 1, 3, 3, 1, 0, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0058019161224365234,4,0,3,"[[0, 1], [1, 1], [2, 1], [3, 0]]","[1, 3, 2, 0, 1, 1, 0, 2, 0, 1, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0015947818756103516,4,0,0,"[[0, 0]]","[2, 3, 0, 0, 3, 1, 3, 1, 1, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.002871990203857422,4,0,1,"[[0, 2], [1, 0]]","[1, 2, 0, 0, 3, 3, 2, 0, 2, 3, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0016171932220458984,4,0,0,"[[0, 0]]","[1, 3, 0, 0, 3, 2, 2, 0, 0, 2, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0027840137481689453,4,0,1,"[[0, 1], [1, 0]]","[2, 3, 1, 3, 0, 0, 0, 1, 1, 0, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0020918846130371094,4,0,1,"[[0, 1], [1, 0]]","[0, 2, 1, 3, 0, 1, 2, 1, 1, 2, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0012140274047851562,4,0,0,"[[0, 0]]","[1, 0, 1, 2, 0, 3, 2, 2, 3, 0, 1]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.001138925552368164,4,0,0,"[[0, 0]]","[2, 3, 2, 1, 0, 0, 3, 1, 3, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'tournament', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0011310577392578125,4,0,0,"[[0, 0]]","[3, 2, 0, 2, 3, 1, 1, 1, 0, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.0024781227111816406,4,0,1,"[[0, 1], [1, 0]]","[2, 1, 3, 3, 2, 0, 1, 0, 0, 1, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.002401113510131836,4,0,1,"[[0, 1], [1, 0]]","[2, 1, 2, 1, 0, 3, 0, 3, 3, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0013608932495117188,4,0,0,"[[0, 0]]","[0, 3, 2, 2, 0, 0, 3, 1, 1, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.0023279190063476562,4,0,1,"[[0, 1], [1, 0]]","[2, 3, 1, 1, 2, 0, 0, 0, 1, 3, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.003175973892211914,4,0,1,"[[0, 1], [1, 0]]","[2, 0, 1, 1, 3, 2, 0, 1, 0, 0, 3]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.004545927047729492,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[1, 3, 0, 0, 1, 1, 3, 2, 3, 1, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.0017998218536376953,4,0,0,"[[0, 0]]","[1, 3, 0, 0, 3, 2, 2, 1, 2, 2, 0]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.004511833190917969,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[3, 0, 3, 2, 1, 3, 0, 3, 0, 0, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.004085063934326172,4,0,2,"[[0, 1], [1, 1], [2, 0]]","[1, 2, 0, 2, 3, 1, 3, 1, 0, 1, 2]"
"{'filename': 'myciel3.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 6, 'TOURNAMENT_SIZE': 6, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.0016360282897949219,4,0,0,"[[0, 0]]","[1, 2, 1, 3, 2, 0, 0, 3, 3, 0, 1]"
