Configuration,time,num_colors,min_conflict,conflicts,best
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.999, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 100000}",0.05516219139099121,6,0,"[[0, 40], [50, 38], [100, 44], [150, 36], [200, 33], [250, 31], [300, 46], [350, 36], [400, 32], [450, 38], [500, 42], [550, 36], [600, 31], [650, 43], [700, 42], [750, 35], [800, 41], [850, 44], [900, 36], [950, 31], [1000, 30], [1050, 38], [1100, 41], [1150, 35], [1200, 37], [1250, 38], [1300, 37], [1350, 37], [1400, 47], [1450, 32], [1500, 41], [1550, 40], [1600, 37], [1650, 41], [1700, 42], [1750, 40], [1800, 36], [1850, 28], [1900, 27], [1950, 24], [2000, 19], [2050, 26], [2100, 38], [2150, 42], [2200, 39], [2250, 28], [2300, 30], [2350, 27], [2400, 33], [2450, 32], [2500, 25], [2550, 31], [2600, 33], [2650, 29], [2700, 24], [2750, 16], [2800, 22], [2850, 24], [2900, 29], [2950, 27], [3000, 25], [3050, 24], [3100, 24], [3150, 27], [3200, 14], [3250, 12], [3300, 11], [3350, 12], [3400, 13], [3450, 16], [3500, 9], [3550, 8], [3600, 6], [3650, 9], [3700, 12], [3750, 9], [3800, 10], [3850, 10], [3900, 11], [3950, 4], [4000, 7], [4050, 7], [4100, 5], [4150, 2], [4200, 3], [4250, 2]]","[2, 1, 0, 1, 2, 4, 3, 0, 0, 3, 2, 2, 1, 0, 1, 2, 4, 4, 5, 5, 4, 2, 3, 2, 1, 5, 1, 3, 4, 4, 4, 5, 4, 2, 4, 5, 5, 1, 5, 4, 4, 5, 1, 4, 5, 3, 0]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.999, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 200000}",0.04301095008850098,6,0,"[[0, 39], [50, 45], [100, 47], [150, 38], [200, 34], [250, 44], [300, 41], [350, 33], [400, 38], [450, 41], [500, 30], [550, 40], [600, 41], [650, 27], [700, 32], [750, 30], [800, 42], [850, 38], [900, 25], [950, 38], [1000, 26], [1050, 26], [1100, 28], [1150, 22], [1200, 26], [1250, 34], [1300, 32], [1350, 35], [1400, 41], [1450, 34], [1500, 30], [1550, 22], [1600, 44], [1650, 38], [1700, 41], [1750, 29], [1800, 31], [1850, 37], [1900, 26], [1950, 33], [2000, 38], [2050, 35], [2100, 40], [2150, 34], [2200, 39], [2250, 30], [2300, 33], [2350, 38], [2400, 35], [2450, 22], [2500, 20], [2550, 33], [2600, 21], [2650, 31], [2700, 32], [2750, 17], [2800, 20], [2850, 17], [2900, 13], [2950, 9], [3000, 13], [3050, 14], [3100, 9], [3150, 23], [3200, 18], [3250, 17], [3300, 9], [3350, 9], [3400, 16], [3450, 17], [3500, 16], [3550, 14], [3600, 12], [3650, 12], [3700, 11], [3750, 12], [3800, 12], [3850, 6], [3900, 8], [3950, 6], [4000, 6], [4050, 5], [4100, 6], [4150, 5], [4200, 3], [4250, 2], [4300, 0]]","[5, 4, 5, 2, 1, 3, 1, 5, 2, 0, 4, 3, 1, 2, 2, 1, 1, 1, 3, 3, 1, 4, 5, 0, 4, 2, 4, 0, 0, 1, 3, 2, 0, 4, 3, 4, 3, 4, 3, 1, 2, 3, 3, 0, 4, 0, 5]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.999, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 300000}",0.04854011535644531,6,0,"[[0, 43], [50, 35], [100, 40], [150, 32], [200, 31], [250, 32], [300, 42], [350, 35], [400, 43], [450, 40], [500, 42], [550, 31], [600, 30], [650, 40], [700, 46], [750, 31], [800, 43], [850, 42], [900, 40], [950, 39], [1000, 37], [1050, 42], [1100, 37], [1150, 31], [1200, 41], [1250, 36], [1300, 41], [1350, 38], [1400, 34], [1450, 32], [1500, 33], [1550, 39], [1600, 45], [1650, 42], [1700, 39], [1750, 35], [1800, 31], [1850, 26], [1900, 31], [1950, 32], [2000, 29], [2050, 39], [2100, 37], [2150, 36], [2200, 36], [2250, 33], [2300, 29], [2350, 29], [2400, 35], [2450, 40], [2500, 32], [2550, 26], [2600, 22], [2650, 25], [2700, 31], [2750, 17], [2800, 33], [2850, 27], [2900, 30], [2950, 14], [3000, 17], [3050, 19], [3100, 21], [3150, 17], [3200, 11], [3250, 17], [3300, 17], [3350, 21], [3400, 23], [3450, 14], [3500, 12], [3550, 12], [3600, 9], [3650, 11], [3700, 10], [3750, 12], [3800, 13], [3850, 8], [3900, 8], [3950, 8], [4000, 6], [4050, 8], [4100, 6], [4150, 5], [4200, 5], [4250, 4], [4300, 6], [4350, 5], [4400, 2], [4450, 5], [4500, 4], [4550, 4], [4600, 3], [4650, 3], [4700, 2], [4750, 2], [4800, 1], [4850, 1]]","[4, 2, 4, 2, 1, 1, 1, 4, 0, 1, 5, 4, 5, 3, 5, 5, 1, 1, 4, 0, 3, 5, 2, 3, 5, 0, 2, 1, 1, 0, 3, 2, 0, 5, 5, 5, 3, 3, 3, 0, 3, 3, 3, 1, 5, 2, 4]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.9993, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 100000}",0.06529474258422852,6,0,"[[0, 43], [50, 45], [100, 30], [150, 39], [200, 23], [250, 26], [300, 32], [350, 39], [400, 44], [450, 41], [500, 46], [550, 38], [600, 40], [650, 46], [700, 40], [750, 40], [800, 28], [850, 48], [900, 37], [950, 46], [1000, 37], [1050, 33], [1100, 38], [1150, 29], [1200, 34], [1250, 32], [1300, 39], [1350, 33], [1400, 41], [1450, 42], [1500, 42], [1550, 49], [1600, 43], [1650, 38], [1700, 42], [1750, 27], [1800, 34], [1850, 33], [1900, 31], [1950, 38], [2000, 34], [2050, 40], [2100, 33], [2150, 43], [2200, 46], [2250, 39], [2300, 41], [2350, 34], [2400, 31], [2450, 32], [2500, 37], [2550, 42], [2600, 29], [2650, 25], [2700, 37], [2750, 38], [2800, 32], [2850, 42], [2900, 36], [2950, 38], [3000, 30], [3050, 28], [3100, 31], [3150, 29], [3200, 23], [3250, 36], [3300, 18], [3350, 29], [3400, 25], [3450, 34], [3500, 34], [3550, 23], [3600, 26], [3650, 29], [3700, 18], [3750, 31], [3800, 26], [3850, 23], [3900, 19], [3950, 27], [4000, 22], [4050, 30], [4100, 22], [4150, 27], [4200, 20], [4250, 17], [4300, 15], [4350, 19], [4400, 24], [4450, 22], [4500, 17], [4550, 14], [4600, 16], [4650, 15], [4700, 16], [4750, 18], [4800, 16], [4850, 13], [4900, 11], [4950, 11], [5000, 14], [5050, 9], [5100, 10], [5150, 7], [5200, 4], [5250, 4], [5300, 7], [5350, 5], [5400, 5], [5450, 5], [5500, 6], [5550, 5], [5600, 8], [5650, 10], [5700, 9], [5750, 7], [5800, 5], [5850, 7], [5900, 6], [5950, 2], [6000, 2]]","[5, 0, 4, 3, 0, 1, 1, 1, 3, 0, 5, 4, 0, 4, 4, 5, 4, 3, 3, 3, 0, 5, 1, 2, 2, 4, 2, 5, 2, 3, 2, 2, 0, 2, 2, 3, 5, 4, 5, 2, 0, 4, 2, 0, 5, 2, 1]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.9993, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 200000}",0.06628704071044922,6,0,"[[0, 45], [50, 40], [100, 42], [150, 34], [200, 39], [250, 41], [300, 55], [350, 35], [400, 39], [450, 41], [500, 34], [550, 45], [600, 35], [650, 33], [700, 39], [750, 37], [800, 36], [850, 28], [900, 39], [950, 36], [1000, 38], [1050, 27], [1100, 43], [1150, 31], [1200, 35], [1250, 31], [1300, 34], [1350, 48], [1400, 39], [1450, 41], [1500, 36], [1550, 15], [1600, 23], [1650, 36], [1700, 30], [1750, 23], [1800, 42], [1850, 39], [1900, 28], [1950, 43], [2000, 29], [2050, 31], [2100, 32], [2150, 34], [2200, 32], [2250, 47], [2300, 28], [2350, 29], [2400, 30], [2450, 26], [2500, 42], [2550, 39], [2600, 23], [2650, 28], [2700, 36], [2750, 26], [2800, 28], [2850, 31], [2900, 31], [2950, 34], [3000, 36], [3050, 30], [3100, 34], [3150, 25], [3200, 32], [3250, 27], [3300, 43], [3350, 31], [3400, 27], [3450, 36], [3500, 30], [3550, 32], [3600, 29], [3650, 30], [3700, 22], [3750, 22], [3800, 19], [3850, 23], [3900, 20], [3950, 20], [4000, 23], [4050, 27], [4100, 28], [4150, 12], [4200, 18], [4250, 18], [4300, 23], [4350, 15], [4400, 15], [4450, 18], [4500, 12], [4550, 12], [4600, 13], [4650, 11], [4700, 14], [4750, 10], [4800, 17], [4850, 19], [4900, 21], [4950, 12], [5000, 7], [5050, 9], [5100, 11], [5150, 9], [5200, 2], [5250, 9], [5300, 8], [5350, 7], [5400, 11], [5450, 8], [5500, 7], [5550, 7], [5600, 4], [5650, 4], [5700, 8], [5750, 6], [5800, 7], [5850, 8], [5900, 10], [5950, 5], [6000, 4], [6050, 8], [6100, 4], [6150, 3], [6200, 3], [6250, 6], [6300, 5], [6350, 2], [6400, 3], [6450, 3]]","[0, 2, 3, 3, 5, 0, 1, 0, 3, 1, 5, 5, 4, 4, 4, 1, 1, 4, 1, 4, 1, 5, 0, 5, 2, 3, 3, 5, 0, 2, 0, 4, 2, 5, 4, 4, 3, 4, 2, 4, 2, 3, 4, 2, 4, 3, 1]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.9993, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 300000}",0.06966209411621094,6,0,"[[0, 45], [50, 43], [100, 49], [150, 39], [200, 39], [250, 31], [300, 37], [350, 42], [400, 37], [450, 35], [500, 38], [550, 42], [600, 44], [650, 41], [700, 40], [750, 36], [800, 25], [850, 39], [900, 32], [950, 55], [1000, 38], [1050, 38], [1100, 41], [1150, 33], [1200, 45], [1250, 37], [1300, 24], [1350, 30], [1400, 40], [1450, 41], [1500, 39], [1550, 39], [1600, 24], [1650, 33], [1700, 36], [1750, 32], [1800, 39], [1850, 36], [1900, 41], [1950, 33], [2000, 27], [2050, 26], [2100, 27], [2150, 30], [2200, 37], [2250, 35], [2300, 28], [2350, 39], [2400, 35], [2450, 42], [2500, 35], [2550, 30], [2600, 39], [2650, 33], [2700, 40], [2750, 36], [2800, 34], [2850, 25], [2900, 30], [2950, 32], [3000, 31], [3050, 28], [3100, 34], [3150, 31], [3200, 35], [3250, 38], [3300, 25], [3350, 29], [3400, 39], [3450, 31], [3500, 34], [3550, 31], [3600, 26], [3650, 27], [3700, 33], [3750, 38], [3800, 27], [3850, 33], [3900, 20], [3950, 20], [4000, 24], [4050, 16], [4100, 25], [4150, 24], [4200, 21], [4250, 24], [4300, 30], [4350, 28], [4400, 18], [4450, 20], [4500, 21], [4550, 14], [4600, 14], [4650, 11], [4700, 11], [4750, 15], [4800, 13], [4850, 12], [4900, 16], [4950, 14], [5000, 11], [5050, 17], [5100, 11], [5150, 10], [5200, 10], [5250, 21], [5300, 18], [5350, 9], [5400, 7], [5450, 3], [5500, 3], [5550, 3], [5600, 6], [5650, 8], [5700, 4], [5750, 4], [5800, 3], [5850, 2], [5900, 3], [5950, 2], [6000, 3], [6050, 3], [6100, 2], [6150, 1], [6200, 2], [6250, 3], [6300, 3], [6350, 1], [6400, 1], [6450, 1], [6500, 1], [6550, 1], [6600, 2], [6650, 1], [6700, 1]]","[2, 3, 4, 4, 2, 1, 1, 0, 1, 1, 5, 2, 3, 5, 0, 2, 1, 3, 1, 1, 3, 2, 4, 5, 3, 4, 5, 3, 1, 3, 1, 0, 1, 5, 5, 5, 0, 3, 3, 1, 3, 0, 3, 3, 5, 4, 2]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.9995, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 100000}",0.09891915321350098,6,0,"[[0, 47], [50, 40], [100, 41], [150, 30], [200, 36], [250, 41], [300, 42], [350, 39], [400, 44], [450, 31], [500, 32], [550, 36], [600, 37], [650, 30], [700, 30], [750, 32], [800, 37], [850, 39], [900, 40], [950, 34], [1000, 30], [1050, 38], [1100, 35], [1150, 34], [1200, 40], [1250, 39], [1300, 43], [1350, 44], [1400, 22], [1450, 40], [1500, 44], [1550, 36], [1600, 37], [1650, 43], [1700, 48], [1750, 41], [1800, 46], [1850, 33], [1900, 24], [1950, 38], [2000, 44], [2050, 41], [2100, 35], [2150, 42], [2200, 37], [2250, 31], [2300, 32], [2350, 34], [2400, 33], [2450, 27], [2500, 51], [2550, 44], [2600, 36], [2650, 38], [2700, 34], [2750, 41], [2800, 39], [2850, 42], [2900, 35], [2950, 42], [3000, 32], [3050, 34], [3100, 35], [3150, 33], [3200, 29], [3250, 36], [3300, 30], [3350, 42], [3400, 37], [3450, 39], [3500, 33], [3550, 32], [3600, 35], [3650, 28], [3700, 30], [3750, 44], [3800, 33], [3850, 33], [3900, 21], [3950, 38], [4000, 26], [4050, 30], [4100, 33], [4150, 27], [4200, 23], [4250, 41], [4300, 20], [4350, 30], [4400, 37], [4450, 34], [4500, 34], [4550, 29], [4600, 35], [4650, 28], [4700, 31], [4750, 31], [4800, 29], [4850, 27], [4900, 20], [4950, 27], [5000, 22], [5050, 42], [5100, 21], [5150, 23], [5200, 27], [5250, 28], [5300, 26], [5350, 16], [5400, 17], [5450, 14], [5500, 20], [5550, 10], [5600, 17], [5650, 25], [5700, 26], [5750, 21], [5800, 22], [5850, 27], [5900, 20], [5950, 20], [6000, 12], [6050, 17], [6100, 23], [6150, 23], [6200, 23], [6250, 15], [6300, 11], [6350, 21], [6400, 16], [6450, 20], [6500, 17], [6550, 17], [6600, 20], [6650, 22], [6700, 23], [6750, 26], [6800, 17], [6850, 20], [6900, 16], [6950, 14], [7000, 13], [7050, 9], [7100, 12], [7150, 11], [7200, 8], [7250, 7], [7300, 7], [7350, 9], [7400, 4], [7450, 7], [7500, 8], [7550, 9], [7600, 7], [7650, 7], [7700, 5], [7750, 8], [7800, 4], [7850, 6], [7900, 7], [7950, 10], [8000, 8], [8050, 8], [8100, 10], [8150, 4], [8200, 5], [8250, 6], [8300, 12], [8350, 3], [8400, 1], [8450, 3], [8500, 1], [8550, 1], [8600, 4], [8650, 3], [8700, 5], [8750, 5], [8800, 5], [8850, 3], [8900, 2], [8950, 1], [9000, 2], [9050, 2], [9100, 3], [9150, 2], [9200, 1], [9250, 3], [9300, 3], [9350, 3], [9400, 1], [9450, 2], [9500, 2], [9550, 1], [9600, 1], [9650, 1]]","[5, 3, 5, 3, 1, 4, 4, 5, 3, 4, 1, 5, 2, 2, 2, 1, 2, 3, 5, 0, 2, 2, 4, 5, 1, 5, 3, 4, 5, 4, 0, 0, 0, 1, 0, 1, 0, 3, 1, 5, 0, 5, 0, 0, 0, 4, 2]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.9995, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 200000}",0.09024405479431152,6,0,"[[0, 38], [50, 40], [100, 47], [150, 44], [200, 45], [250, 43], [300, 38], [350, 37], [400, 44], [450, 41], [500, 43], [550, 35], [600, 38], [650, 44], [700, 39], [750, 25], [800, 30], [850, 39], [900, 51], [950, 38], [1000, 49], [1050, 35], [1100, 29], [1150, 35], [1200, 31], [1250, 37], [1300, 41], [1350, 37], [1400, 37], [1450, 33], [1500, 38], [1550, 45], [1600, 44], [1650, 24], [1700, 29], [1750, 35], [1800, 28], [1850, 45], [1900, 28], [1950, 29], [2000, 36], [2050, 28], [2100, 40], [2150, 42], [2200, 38], [2250, 37], [2300, 31], [2350, 34], [2400, 35], [2450, 29], [2500, 41], [2550, 44], [2600, 36], [2650, 41], [2700, 44], [2750, 29], [2800, 35], [2850, 37], [2900, 33], [2950, 31], [3000, 40], [3050, 46], [3100, 29], [3150, 27], [3200, 40], [3250, 40], [3300, 26], [3350, 39], [3400, 36], [3450, 26], [3500, 43], [3550, 36], [3600, 33], [3650, 36], [3700, 38], [3750, 33], [3800, 34], [3850, 29], [3900, 37], [3950, 34], [4000, 30], [4050, 31], [4100, 28], [4150, 32], [4200, 36], [4250, 33], [4300, 31], [4350, 33], [4400, 29], [4450, 28], [4500, 33], [4550, 25], [4600, 27], [4650, 35], [4700, 26], [4750, 18], [4800, 26], [4850, 27], [4900, 21], [4950, 24], [5000, 33], [5050, 31], [5100, 36], [5150, 38], [5200, 34], [5250, 23], [5300, 27], [5350, 35], [5400, 26], [5450, 21], [5500, 17], [5550, 20], [5600, 11], [5650, 26], [5700, 30], [5750, 20], [5800, 16], [5850, 17], [5900, 21], [5950, 19], [6000, 19], [6050, 23], [6100, 18], [6150, 22], [6200, 16], [6250, 20], [6300, 24], [6350, 16], [6400, 13], [6450, 17], [6500, 24], [6550, 20], [6600, 21], [6650, 18], [6700, 17], [6750, 17], [6800, 19], [6850, 15], [6900, 13], [6950, 10], [7000, 10], [7050, 12], [7100, 7], [7150, 6], [7200, 9], [7250, 8], [7300, 9], [7350, 16], [7400, 9], [7450, 11], [7500, 10], [7550, 5], [7600, 5], [7650, 6], [7700, 6], [7750, 10], [7800, 6], [7850, 6], [7900, 11], [7950, 7], [8000, 6], [8050, 4], [8100, 3], [8150, 4], [8200, 7], [8250, 5], [8300, 3], [8350, 2], [8400, 2], [8450, 1], [8500, 1], [8550, 1], [8600, 2], [8650, 1], [8700, 2], [8750, 1]]","[4, 1, 3, 3, 5, 4, 0, 4, 0, 5, 1, 2, 5, 2, 0, 5, 5, 0, 2, 2, 0, 2, 1, 4, 0, 4, 3, 5, 4, 0, 3, 3, 4, 3, 4, 5, 3, 2, 5, 4, 5, 2, 3, 2, 3, 4, 1]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 30.0, 'COOLING_RATE': 0.9995, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 300000}",0.08583903312683105,6,0,"[[0, 30], [50, 41], [100, 46], [150, 42], [200, 43], [250, 48], [300, 36], [350, 39], [400, 37], [450, 42], [500, 34], [550, 37], [600, 35], [650, 32], [700, 41], [750, 31], [800, 35], [850, 41], [900, 28], [950, 39], [1000, 43], [1050, 31], [1100, 30], [1150, 34], [1200, 34], [1250, 39], [1300, 47], [1350, 33], [1400, 22], [1450, 43], [1500, 36], [1550, 36], [1600, 34], [1650, 28], [1700, 46], [1750, 36], [1800, 35], [1850, 43], [1900, 32], [1950, 22], [2000, 32], [2050, 38], [2100, 33], [2150, 32], [2200, 41], [2250, 41], [2300, 35], [2350, 54], [2400, 36], [2450, 41], [2500, 39], [2550, 38], [2600, 39], [2650, 31], [2700, 33], [2750, 43], [2800, 41], [2850, 37], [2900, 30], [2950, 30], [3000, 38], [3050, 38], [3100, 30], [3150, 42], [3200, 44], [3250, 28], [3300, 30], [3350, 37], [3400, 25], [3450, 26], [3500, 26], [3550, 38], [3600, 39], [3650, 37], [3700, 38], [3750, 42], [3800, 30], [3850, 29], [3900, 31], [3950, 21], [4000, 28], [4050, 34], [4100, 29], [4150, 26], [4200, 27], [4250, 25], [4300, 25], [4350, 29], [4400, 26], [4450, 31], [4500, 33], [4550, 28], [4600, 27], [4650, 39], [4700, 26], [4750, 33], [4800, 28], [4850, 27], [4900, 16], [4950, 24], [5000, 25], [5050, 21], [5100, 33], [5150, 29], [5200, 27], [5250, 26], [5300, 23], [5350, 30], [5400, 30], [5450, 37], [5500, 30], [5550, 25], [5600, 30], [5650, 34], [5700, 29], [5750, 28], [5800, 30], [5850, 30], [5900, 24], [5950, 19], [6000, 16], [6050, 20], [6100, 20], [6150, 26], [6200, 23], [6250, 19], [6300, 18], [6350, 14], [6400, 15], [6450, 16], [6500, 16], [6550, 20], [6600, 14], [6650, 12], [6700, 13], [6750, 14], [6800, 15], [6850, 13], [6900, 11], [6950, 17], [7000, 15], [7050, 14], [7100, 10], [7150, 11], [7200, 7], [7250, 12], [7300, 12], [7350, 12], [7400, 9], [7450, 9], [7500, 6], [7550, 6], [7600, 8], [7650, 8], [7700, 9], [7750, 10], [7800, 11], [7850, 8], [7900, 6], [7950, 11], [8000, 8], [8050, 5], [8100, 5], [8150, 4], [8200, 5], [8250, 6], [8300, 6], [8350, 4], [8400, 2]]","[2, 5, 2, 1, 3, 2, 3, 2, 0, 3, 1, 2, 5, 2, 0, 3, 2, 0, 4, 0, 0, 5, 1, 2, 3, 4, 4, 3, 2, 4, 2, 4, 3, 5, 4, 3, 2, 4, 4, 3, 3, 2, 5, 5, 5, 1, 0]"
"{'filename': 'myciel5.col', 'INITIAL_TEMPERATURE': 40.0, 'COOLING_RATE': 0.999, 'MIN_TEMPERATURE': 0.01, 'MAX_ITERATIONS': 100000}",0.04940509796142578,6,0,"[[0, 42], [50, 41], [100, 37], [150, 41], [200, 36], [250, 41], [300, 38], [350, 37], [400, 41], [450, 38], [500, 28], [550, 42], [600, 38], [650, 43], [700, 41], [750, 36], [800, 44], [850, 45], [900, 45], [950, 42], [1000, 43], [1050, 35], [1100, 39], [1150, 53], [1200, 38], [1250, 26], [1300, 31], [1350, 39], [1400, 45], [1450, 36], [1500, 36], [1550, 38], [1600, 39], [1650, 36], [1700, 32], [1750, 39], [1800, 34], [1850, 27], [1900, 35], [1950, 26], [2000, 38], [2050, 33], [2100, 17], [2150, 33], [2200, 34], [2250, 32], [2300, 32], [2350, 26], [2400, 38], [2450, 36], [2500, 39], [2550, 38], [2600, 41], [2650, 33], [2700, 36], [2750, 25], [2800, 26], [2850, 29], [2900, 31], [2950, 23], [3000, 31], [3050, 25], [3100, 24], [3150, 19], [3200, 27], [3250, 20], [3300, 35], [3350, 20], [3400, 20], [3450, 23], [3500, 15], [3550, 16], [3600, 13], [3650, 14], [3700, 14], [3750, 19], [3800, 14], [3850, 8], [3900, 11], [3950, 14], [4000, 13], [4050, 15], [4100, 11], [4150, 9], [4200, 7], [4250, 8], [4300, 8], [4350, 6], [4400, 4], [4450, 6], [4500, 2], [4550, 2], [4600, 2], [4650, 2], [4700, 2], [4750, 1], [4800, 1]]","[0, 1, 0, 1, 2, 5, 5, 5, 5, 2, 3, 4, 2, 0, 1, 4, 5, 1, 0, 1, 2, 4, 3, 4, 3, 0, 3, 4, 0, 5, 5, 1, 5, 3, 4, 4, 4, 1, 4, 5, 5, 0, 1, 4, 0, 3, 2]"
