Configuration,time,num_colors,min_conflict,conflicts,best
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 3, 'MAX_ITERATIONS': 1000}",0.0006229877471923828,4,0,[],"[1, 2, 3, 2, 1, 0, 0, 3, 0, 0, 2]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 3, 'MAX_ITERATIONS': 2000}",0.00034499168395996094,4,0,[],"[1, 2, 3, 3, 2, 0, 0, 0, 0, 0, 1]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 4, 'MAX_ITERATIONS': 1000}",8.082389831542969e-05,4,0,[],"[1, 0, 1, 0, 2, 3, 3, 1, 0, 3, 2]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 4, 'MAX_ITERATIONS': 2000}",0.00011181831359863281,4,0,[],"[2, 1, 2, 3, 1, 0, 1, 0, 0, 0, 2]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 5, 'MAX_ITERATIONS': 1000}",7.319450378417969e-05,4,0,[],"[0, 1, 0, 3, 1, 2, 2, 0, 2, 1, 3]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 5, 'MAX_ITERATIONS': 2000}",9.202957153320312e-05,4,0,[],"[1, 2, 3, 2, 1, 3, 2, 0, 3, 0, 1]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 3, 'MAX_ITERATIONS': 1000}",7.033348083496094e-05,5,0,[],"[0, 1, 4, 3, 1, 4, 1, 2, 2, 2, 0]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 3, 'MAX_ITERATIONS': 2000}",0.00011992454528808594,5,0,[],"[1, 0, 3, 3, 0, 2, 4, 2, 4, 4, 0]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 4, 'MAX_ITERATIONS': 1000}",0.00015687942504882812,5,0,[],"[2, 1, 0, 0, 1, 4, 1, 4, 0, 1, 3]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 4, 'MAX_ITERATIONS': 2000}",0.00015497207641601562,5,0,[],"[2, 3, 2, 3, 0, 0, 0, 1, 1, 0, 3]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 5, 'MAX_ITERATIONS': 1000}",0.0004189014434814453,5,0,[],"[4, 2, 0, 2, 4, 1, 3, 0, 0, 1, 2]"
"{'filename': 'myciel3.col', 'TABU_LIST_SIZE': 5, 'MAX_ITERATIONS': 2000}",0.0003008842468261719,5,0,[],"[1, 0, 3, 3, 0, 2, 0, 4, 2, 0, 3]"
